poliza_id,edad,sexo,suma_asegurada,producto,plazo_years,tasa_interes,fecha_emision,prima_mensual,estado
POL001,35,H,1000000,temporal,20,0.055,2024-01-15,850.50,vigente
POL002,42,M,2500000,ordinario,99,0.050,2024-02-01,4200.75,vigente
POL003,28,H,500000,temporal,15,0.055,2024-03-10,320.25,vigente
POL004,55,M,1500000,dotal,20,0.045,2024-01-20,2850.00,vigente
POL005,38,H,3000000,temporal,25,0.055,2024-04-05,1650.80,vigente
POL006,45,M,800000,ordinario,99,0.050,2024-02-15,1580.90,vigente
POL007,30,H,1200000,temporal,30,0.055,2024-05-01,580.40,vigente
POL008,50,M,2000000,dotal,15,0.045,2024-03-20,4120.50,vigente
POL009,33,H,1800000,temporal,20,0.055,2024-01-25,1530.60,vigente
POL010,48,M,1000000,ordinario,99,0.050,2024-04-12,2100.30,vigente
POL011,40,H,2200000,temporal,20,0.055,2024-02-08,2350.75,vigente
POL012,36,M,950000,temporal,15,0.055,2024-03-15,680.20,vigente
POL013,52,H,1750000,dotal,20,0.045,2024-05-10,4580.90,vigente
POL014,29,M,650000,temporal,25,0.055,2024-01-30,280.40,vigente
POL015,44,H,2800000,ordinario,99,0.050,2024-04-18,6720.50,vigente
POL016,37,M,1100000,temporal,20,0.055,2024-02-22,890.65,vigente
POL017,51,H,1600000,dotal,15,0.045,2024-03-28,4250.80,vigente
POL018,32,M,750000,temporal,30,0.055,2024-05-05,350.30,vigente
POL019,46,H,1900000,ordinario,99,0.050,2024-01-18,4560.75,vigente
POL020,39,M,1300000,temporal,20,0.055,2024-04-08,1120.90,vigente
